date,equity,pnl,strategy,symbol,window
2024-05-31,100050.58,50.58,iron_condor,QQQ,1
2024-06-13,99755.15000000001,-295.43,iron_condor,QQQ,1
2024-06-28,100026.21,271.06,iron_condor,QQQ,1
2024-07-03,99769.52,-256.69,iron_condor,QQQ,1
2024-07-12,99872.89,103.37,iron_condor,QQQ,1
2024-07-17,99568.06,-304.83,iron_condor,QQQ,1
2024-07-18,99548.5,-19.56,iron_condor,QQQ,1
2024-07-25,99288.26,-260.24,iron_condor,QQQ,2
2024-08-05,98747.06999999999,-541.19,iron_condor,QQQ,2
2024-08-15,98431.48,-315.59,iron_condor,QQQ,2
2024-09-03,98505.06999999999,73.59,iron_condor,QQQ,2
2024-09-16,98779.98,274.91,iron_condor,QQQ,2
2024-10-28,99494.81999999999,714.84,iron_condor,QQQ,3
2024-11-07,99158.06999999999,-336.75,iron_condor,QQQ,3
2024-11-15,99003.79,-154.28,iron_condor,QQQ,3
2025-01-14,99446.31999999999,442.53,iron_condor,QQQ,4
2025-02-04,100083.51999999999,637.2,iron_condor,QQQ,5
2025-02-24,100702.79,619.27,iron_condor,QQQ,5
2025-02-27,100465.20999999999,-237.58,iron_condor,QQQ,5
2025-03-04,100231.90999999999,-233.3,iron_condor,QQQ,5
2025-05-12,99979.30999999998,-252.6,iron_condor,QQQ,6
2025-06-09,100781.13999999998,801.83,iron_condor,QQQ,7
2025-06-13,100895.34999999999,114.21,iron_condor,QQQ,7
2025-06-24,101051.62999999999,156.28,iron_condor,QQQ,7
2025-07-09,101152.73,101.1,iron_condor,QQQ,7
2025-07-11,101147.73,-5.0,iron_condor,QQQ,7
2025-07-29,101212.01999999999,64.29,iron_condor,QQQ,8
2025-08-05,100939.59999999999,-272.42,iron_condor,QQQ,8
2025-08-07,100621.60999999999,-317.99,iron_condor,QQQ,8
2025-08-20,100886.58999999998,264.98,iron_condor,QQQ,8
2025-09-05,101272.94999999998,386.36,iron_condor,QQQ,8
2025-09-11,101358.61999999998,85.67,iron_condor,QQQ,8
2025-09-18,101387.29999999997,28.68,iron_condor,QQQ,9
2025-10-06,101766.61999999998,379.32,iron_condor,QQQ,9
2026-02-03,102458.81999999998,692.2,iron_condor,QQQ,11
2026-03-03,103047.13999999998,588.32,iron_condor,QQQ,11
2026-03-10,103337.93999999999,290.8,iron_condor,QQQ,11
2026-03-19,103087.37999999999,-250.56,iron_condor,QQQ,12
2026-03-27,102855.91999999998,-231.46,iron_condor,QQQ,12
2026-04-01,102610.29999999999,-245.62,iron_condor,QQQ,12
