symbol,feature,feature_type,horizon_days,ic,p_value,n_obs
QQQ,hurst_wavelet,fractal,1,0.0086,0.8694,370
QQQ,hurst_scale_spread,fractal,1,-0.0264,0.6132,370
QQQ,psd_beta,fractal,1,0.0608,0.2431,370
QQQ,multifractal_width,fractal,1,0.0,,370
QQQ,multifractal_asymmetry,fractal,1,0.0,,370
QQQ,session_vwap_position,vlmc,1,-0.0252,0.5835,477
QQQ,session_vwap_q1,vlmc,1,0.0527,0.2507,477
QQQ,session_vwap_q2,vlmc,1,-0.01,0.8282,477
QQQ,session_vwap_q3,vlmc,1,0.0013,0.9781,477
QQQ,session_high_timing,vlmc,1,0.0577,0.2085,477
QQQ,session_low_timing,vlmc,1,0.0376,0.4129,477
QQQ,session_volume_front_load,vlmc,1,-0.0119,0.7952,477
QQQ,session_volume_shape,vlmc,1,0.0029,0.9504,477
QQQ,power_hour_momentum,vlmc,1,-0.0548,0.232,477
QQQ,power_hour_vol_accel,vlmc,1,-0.0149,0.7459,477
QQQ,power_hour_vwap_cross,vlmc,1,-0.0003,0.9952,477
QQQ,closing_imbalance,vlmc,1,-0.0061,0.8941,477
QQQ,closing_range_position,vlmc,1,-0.0168,0.7136,477
QQQ,hurst_wavelet,fractal,3,0.0672,0.1984,368
QQQ,hurst_scale_spread,fractal,3,0.02,0.7027,368
QQQ,psd_beta,fractal,3,0.092,0.0781,368
QQQ,multifractal_width,fractal,3,0.0,,368
QQQ,multifractal_asymmetry,fractal,3,0.0,,368
QQQ,session_vwap_position,vlmc,3,0.0103,0.8221,477
QQQ,session_vwap_q1,vlmc,3,0.0455,0.3218,477
QQQ,session_vwap_q2,vlmc,3,-0.0368,0.4227,477
QQQ,session_vwap_q3,vlmc,3,0.0343,0.4549,477
QQQ,session_high_timing,vlmc,3,0.0303,0.5091,477
QQQ,session_low_timing,vlmc,3,-0.0093,0.8398,477
QQQ,session_volume_front_load,vlmc,3,0.009,0.8439,477
QQQ,session_volume_shape,vlmc,3,0.0442,0.3352,477
QQQ,power_hour_momentum,vlmc,3,-0.0247,0.5908,477
QQQ,power_hour_vol_accel,vlmc,3,-0.0273,0.5517,477
QQQ,power_hour_vwap_cross,vlmc,3,0.0372,0.4173,477
QQQ,closing_imbalance,vlmc,3,-0.011,0.81,477
QQQ,closing_range_position,vlmc,3,-0.0081,0.8594,477
QQQ,hurst_wavelet,fractal,5,0.0873,0.0953,366
QQQ,hurst_scale_spread,fractal,5,0.002,0.9696,366
QQQ,psd_beta,fractal,5,0.1,0.056,366
QQQ,multifractal_width,fractal,5,0.0,,366
QQQ,multifractal_asymmetry,fractal,5,0.0,,366
QQQ,session_vwap_position,vlmc,5,0.007,0.8793,477
QQQ,session_vwap_q1,vlmc,5,0.0196,0.67,477
QQQ,session_vwap_q2,vlmc,5,-0.0404,0.3782,477
QQQ,session_vwap_q3,vlmc,5,0.0179,0.6968,477
QQQ,session_high_timing,vlmc,5,-0.0029,0.9493,477
QQQ,session_low_timing,vlmc,5,-0.0129,0.778,477
QQQ,session_volume_front_load,vlmc,5,0.0636,0.1654,477
QQQ,session_volume_shape,vlmc,5,0.0799,0.0813,477
QQQ,power_hour_momentum,vlmc,5,0.0169,0.7122,477
QQQ,power_hour_vol_accel,vlmc,5,-0.0412,0.3697,477
QQQ,power_hour_vwap_cross,vlmc,5,0.0741,0.1062,477
QQQ,closing_imbalance,vlmc,5,0.0524,0.2533,477
QQQ,closing_range_position,vlmc,5,0.0362,0.4299,477
QQQ,hurst_wavelet,fractal,10,0.1518,0.0037,365
QQQ,hurst_scale_spread,fractal,10,0.049,0.3509,365
QQQ,psd_beta,fractal,10,0.1042,0.0468,365
QQQ,multifractal_width,fractal,10,0.0,,365
QQQ,multifractal_asymmetry,fractal,10,0.0,,365
QQQ,session_vwap_position,vlmc,10,0.0006,0.9893,477
QQQ,session_vwap_q1,vlmc,10,-0.0138,0.764,477
QQQ,session_vwap_q2,vlmc,10,-0.0265,0.5638,477
QQQ,session_vwap_q3,vlmc,10,-0.0093,0.8399,477
QQQ,session_high_timing,vlmc,10,-0.0148,0.747,477
QQQ,session_low_timing,vlmc,10,0.0594,0.195,477
QQQ,session_volume_front_load,vlmc,10,-0.0169,0.7135,477
QQQ,session_volume_shape,vlmc,10,0.015,0.7446,477
QQQ,power_hour_momentum,vlmc,10,0.0768,0.0939,477
QQQ,power_hour_vol_accel,vlmc,10,-0.1049,0.022,477
QQQ,power_hour_vwap_cross,vlmc,10,0.1163,0.011,477
QQQ,closing_imbalance,vlmc,10,0.1032,0.0242,477
