date,equity,pnl,strategy,symbol,window
2024-05-31,100038.14,38.14,iron_condor,QQQ,1
2024-06-14,99841.05,-197.09,iron_condor,QQQ,1
2024-07-03,100072.48,231.43,iron_condor,QQQ,1
2024-07-12,100127.81999999999,55.34,iron_condor,QQQ,1
2024-07-18,99843.59999999999,-284.22,iron_condor,QQQ,1
2024-07-18,99804.68,-38.92,iron_condor,QQQ,1
2024-07-25,99483.59,-321.09,iron_condor,QQQ,2
2024-11-05,100654.45999999999,1170.87,iron_condor,QQQ,3
2024-11-07,99826.87999999999,-827.58,iron_condor,QQQ,3
2024-11-15,99442.76,-384.12,iron_condor,QQQ,3
2025-01-14,99671.18,228.42,iron_condor,QQQ,4
2025-02-24,99699.81,28.63,iron_condor,QQQ,5
2025-03-03,99244.22,-455.59,iron_condor,QQQ,5
2025-03-31,99216.01,-28.21,iron_condor,QQQ,6
2025-04-04,98652.18,-563.83,iron_condor,QQQ,6
2025-05-14,98372.7,-279.48,iron_condor,QQQ,6
2025-06-27,98396.73999999999,24.04,iron_condor,QQQ,7
2025-07-11,98549.76999999999,153.03,iron_condor,QQQ,7
2025-07-29,98624.85999999999,75.09,iron_condor,QQQ,8
2025-08-07,97985.83999999998,-639.02,iron_condor,QQQ,8
2025-08-20,98204.16999999998,218.33,iron_condor,QQQ,8
2025-09-05,98378.62999999999,174.46,iron_condor,QQQ,8
2025-09-11,98458.2,79.57,iron_condor,QQQ,8
2025-10-01,98586.12999999999,127.93,iron_condor,QQQ,9
2026-02-04,98618.07999999999,31.95,iron_condor,QQQ,11
