date,equity,pnl,strategy,symbol,window
2024-05-31,100038.14,38.14,iron_condor,QQQ,1
2024-06-14,99841.05,-197.09,iron_condor,QQQ,1
2024-07-03,100072.48,231.43,iron_condor,QQQ,1
2024-07-12,100127.81999999999,55.34,iron_condor,QQQ,1
2024-07-18,99843.59999999999,-284.22,iron_condor,QQQ,1
2024-07-18,99804.68,-38.92,iron_condor,QQQ,1
2024-07-25,99483.59,-321.09,iron_condor,QQQ,2
2024-10-25,100562.47,1078.88,iron_condor,QQQ,3
2024-11-15,101333.12,770.65,iron_condor,QQQ,3
2025-01-14,101561.54,228.42,iron_condor,QQQ,4
2025-02-24,101590.17,28.63,iron_condor,QQQ,5
2025-03-03,101134.58,-455.59,iron_condor,QQQ,5
2025-03-31,101106.37,-28.21,iron_condor,QQQ,6
2025-04-04,100542.54,-563.83,iron_condor,QQQ,6
2025-05-14,100263.06,-279.48,iron_condor,QQQ,6
2025-06-27,100287.09999999999,24.04,iron_condor,QQQ,7
2025-07-11,100440.12999999999,153.03,iron_condor,QQQ,7
2025-07-29,100515.21999999999,75.09,iron_condor,QQQ,8
2025-08-07,99876.19999999998,-639.02,iron_condor,QQQ,8
2025-08-20,100094.52999999998,218.33,iron_condor,QQQ,8
2025-09-05,100268.98999999999,174.46,iron_condor,QQQ,8
2025-09-11,100348.56,79.57,iron_condor,QQQ,8
2025-10-01,100476.48999999999,127.93,iron_condor,QQQ,9
2026-02-04,100508.43999999999,31.95,iron_condor,QQQ,11
