symbol,feature,feature_type,horizon_days,ic,p_value,n_obs
QQQ,hurst_wavelet,fractal,1,-0.0236,0.633,412
QQQ,hurst_scale_spread,fractal,1,-0.0033,0.9469,412
QQQ,psd_beta,fractal,1,0.0201,0.6839,412
QQQ,multifractal_width,fractal,1,-0.016,0.7468,412
QQQ,multifractal_asymmetry,fractal,1,0.1234,0.0122,412
QQQ,hurst_wavelet,fractal,3,-0.0542,0.272,412
QQQ,hurst_scale_spread,fractal,3,-0.0287,0.5614,412
QQQ,psd_beta,fractal,3,0.0734,0.1372,412
QQQ,multifractal_width,fractal,3,0.0238,0.6305,412
QQQ,multifractal_asymmetry,fractal,3,0.2211,0.0,412
QQQ,hurst_wavelet,fractal,5,-0.0435,0.378,412
QQQ,hurst_scale_spread,fractal,5,0.0025,0.9605,412
QQQ,psd_beta,fractal,5,0.1041,0.0347,412
QQQ,multifractal_width,fractal,5,0.0216,0.6622,412
QQQ,multifractal_asymmetry,fractal,5,0.2706,0.0,412
QQQ,hurst_wavelet,fractal,10,-0.0708,0.1515,412
QQQ,hurst_scale_spread,fractal,10,0.0799,0.1052,412
QQQ,psd_beta,fractal,10,0.0748,0.1294,412
QQQ,multifractal_width,fractal,10,0.0984,0.046,412
QQQ,multifractal_asymmetry,fractal,10,0.232,0.0,412
QQQ,hurst_wavelet,fractal,20,-0.0153,0.7574,410
QQQ,hurst_scale_spread,fractal,20,0.0691,0.1623,410
QQQ,psd_beta,fractal,20,-0.0241,0.6265,410
QQQ,multifractal_width,fractal,20,0.2998,0.0,410
QQQ,multifractal_asymmetry,fractal,20,-0.0029,0.9532,410
