symbol,feature,feature_type,horizon_days,ic,p_value,n_obs
QQQ,hurst_wavelet,fractal,1,0.0086,0.8694,370
QQQ,hurst_scale_spread,fractal,1,-0.0264,0.6132,370
QQQ,psd_beta,fractal,1,0.0608,0.2431,370
QQQ,multifractal_width,fractal,1,0.0,,370
QQQ,multifractal_asymmetry,fractal,1,0.0,,370
QQQ,session_vwap_position,vlmc,1,-0.0271,0.5548,477
QQQ,session_vwap_q1,vlmc,1,0.0486,0.2891,477
QQQ,session_vwap_q2,vlmc,1,-0.008,0.8612,477
QQQ,session_vwap_q3,vlmc,1,0.0009,0.9849,477
QQQ,session_high_timing,vlmc,1,0.0577,0.2085,477
QQQ,session_low_timing,vlmc,1,0.0426,0.3532,477
QQQ,session_volume_front_load,vlmc,1,-0.0171,0.7089,477
QQQ,session_volume_shape,vlmc,1,0.0002,0.9963,477
QQQ,power_hour_momentum,vlmc,1,-0.0548,0.232,477
QQQ,power_hour_vol_accel,vlmc,1,-0.0149,0.7459,477
QQQ,power_hour_vwap_cross,vlmc,1,-0.0003,0.9952,477
QQQ,closing_imbalance,vlmc,1,-0.0061,0.8941,477
QQQ,closing_range_position,vlmc,1,-0.0168,0.7136,477
QQQ,hurst_wavelet,fractal,3,0.0672,0.1984,368
QQQ,hurst_scale_spread,fractal,3,0.02,0.7027,368
QQQ,psd_beta,fractal,3,0.092,0.0781,368
QQQ,multifractal_width,fractal,3,0.0,,368
QQQ,multifractal_asymmetry,fractal,3,0.0,,368
QQQ,session_vwap_position,vlmc,3,0.0094,0.8372,477
QQQ,session_vwap_q1,vlmc,3,0.0437,0.3411,477
QQQ,session_vwap_q2,vlmc,3,-0.0357,0.4363,477
QQQ,session_vwap_q3,vlmc,3,0.0341,0.4576,477
QQQ,session_high_timing,vlmc,3,0.0303,0.5091,477
QQQ,session_low_timing,vlmc,3,-0.0069,0.8806,477
QQQ,session_volume_front_load,vlmc,3,0.0064,0.889,477
QQQ,session_volume_shape,vlmc,3,0.0427,0.3519,477
QQQ,power_hour_momentum,vlmc,3,-0.0247,0.5908,477
QQQ,power_hour_vol_accel,vlmc,3,-0.0273,0.5517,477
QQQ,power_hour_vwap_cross,vlmc,3,0.0372,0.4173,477
QQQ,closing_imbalance,vlmc,3,-0.011,0.81,477
QQQ,closing_range_position,vlmc,3,-0.0081,0.8594,477
QQQ,hurst_wavelet,fractal,5,0.0873,0.0953,366
QQQ,hurst_scale_spread,fractal,5,0.002,0.9696,366
QQQ,psd_beta,fractal,5,0.1,0.056,366
QQQ,multifractal_width,fractal,5,0.0,,366
QQQ,multifractal_asymmetry,fractal,5,0.0,,366
QQQ,session_vwap_position,vlmc,5,0.0057,0.9013,477
QQQ,session_vwap_q1,vlmc,5,0.017,0.7105,477
QQQ,session_vwap_q2,vlmc,5,-0.0393,0.3923,477
QQQ,session_vwap_q3,vlmc,5,0.0176,0.701,477
QQQ,session_high_timing,vlmc,5,-0.0029,0.9493,477
QQQ,session_low_timing,vlmc,5,-0.0098,0.8303,477
QQQ,session_volume_front_load,vlmc,5,0.06,0.1907,477
QQQ,session_volume_shape,vlmc,5,0.078,0.0887,477
QQQ,power_hour_momentum,vlmc,5,0.0169,0.7122,477
QQQ,power_hour_vol_accel,vlmc,5,-0.0412,0.3697,477
QQQ,power_hour_vwap_cross,vlmc,5,0.0741,0.1062,477
QQQ,closing_imbalance,vlmc,5,0.0524,0.2533,477
QQQ,closing_range_position,vlmc,5,0.0362,0.4299,477
QQQ,hurst_wavelet,fractal,10,0.1518,0.0037,365
QQQ,hurst_scale_spread,fractal,10,0.049,0.3509,365
QQQ,psd_beta,fractal,10,0.1042,0.0468,365
QQQ,multifractal_width,fractal,10,0.0,,365
QQQ,multifractal_asymmetry,fractal,10,0.0,,365
QQQ,session_vwap_position,vlmc,10,-0.0002,0.9972,477
QQQ,session_vwap_q1,vlmc,10,-0.0154,0.737,477
QQQ,session_vwap_q2,vlmc,10,-0.0257,0.5754,477
QQQ,session_vwap_q3,vlmc,10,-0.0095,0.8364,477
QQQ,session_high_timing,vlmc,10,-0.0148,0.747,477
QQQ,session_low_timing,vlmc,10,0.0615,0.1799,477
QQQ,session_volume_front_load,vlmc,10,-0.0188,0.6816,477
QQQ,session_volume_shape,vlmc,10,0.0138,0.7631,477
QQQ,power_hour_momentum,vlmc,10,0.0768,0.0939,477
QQQ,power_hour_vol_accel,vlmc,10,-0.1049,0.022,477
QQQ,power_hour_vwap_cross,vlmc,10,0.1163,0.011,477
QQQ,closing_imbalance,vlmc,10,0.1032,0.0242,477
