date,equity,pnl,strategy,symbol,window
2025-06-13,101113.63,1113.63,iron_condor,QQQ,1
2025-06-13,102167.67,1054.04,iron_condor,QQQ,1
2025-06-13,103099.97,932.3,iron_condor,QQQ,1
2025-06-26,103177.51,77.54,iron_condor,QQQ,2
2025-06-26,103103.23999999999,-74.27,iron_condor,QQQ,2
2025-07-03,103179.48999999999,76.25,iron_condor,QQQ,2
2025-07-11,103200.96999999999,21.48,iron_condor,QQQ,2
2025-08-04,103672.68999999999,471.72,iron_condor,QQQ,3
2025-08-04,104125.87999999999,453.19,iron_condor,QQQ,3
2025-08-05,104593.01999999999,467.14,iron_condor,QQQ,3
2025-08-12,104550.71999999999,-42.3,iron_condor,QQQ,3
2025-08-12,104335.86999999998,-214.85,iron_condor,QQQ,3
2025-08-12,104266.72999999998,-69.14,iron_condor,QQQ,3
2025-08-20,103845.90999999997,-420.82,iron_condor,QQQ,4
2025-10-06,104968.50999999998,1122.6,iron_condor,QQQ,5
2025-10-07,106045.68999999997,1077.18,iron_condor,QQQ,5
2025-10-08,107165.79999999997,1120.11,iron_condor,QQQ,5
2025-10-10,106535.02999999997,-630.77,iron_condor,QQQ,5
2025-10-10,105503.05999999997,-1031.97,iron_condor,QQQ,5
2025-10-10,105051.11999999997,-451.94,iron_condor,QQQ,5
2025-10-24,105258.39999999997,207.28,iron_condor,QQQ,6
2025-10-27,105237.59999999996,-20.8,iron_condor,QQQ,6
2025-10-27,105271.58999999997,33.99,iron_condor,QQQ,6
2025-11-04,105289.50999999997,17.92,iron_condor,QQQ,6
2025-11-04,105234.50999999997,-55.0,iron_condor,QQQ,6
2025-11-06,105201.15999999996,-33.35,iron_condor,QQQ,6
2026-02-03,106194.87999999996,993.72,iron_condor,QQQ,9
2026-02-04,107145.56999999996,950.69,iron_condor,QQQ,9
2026-03-26,107341.68999999996,196.12,iron_condor,QQQ,11
2026-03-26,107268.58999999995,-73.1,iron_condor,QQQ,11
2026-03-27,107339.28999999995,70.7,iron_condor,QQQ,11
2026-04-08,107215.32999999994,-123.96,iron_condor,QQQ,11
2026-04-09,106730.81999999995,-484.51,iron_condor,QQQ,11
