date,equity,pnl,strategy,symbol,window
2024-05-31,100031.68,31.68,iron_condor,QQQ,1
2024-06-12,100032.98999999999,1.31,iron_condor,QQQ,1
2024-06-17,99771.81,-261.18,iron_condor,QQQ,1
2024-07-09,100502.26,730.45,iron_condor,QQQ,1
2024-07-17,100336.08,-166.18,iron_condor,QQQ,1
2024-07-24,100370.28,34.2,iron_condor,QQQ,2
2024-08-02,100427.94,57.66,iron_condor,QQQ,2
2024-08-13,100210.29000000001,-217.65,iron_condor,QQQ,2
2024-08-19,100264.31000000001,54.02,iron_condor,QQQ,2
2024-09-03,100983.45000000001,719.14,iron_condor,QQQ,2
2024-09-16,101445.40000000001,461.95,iron_condor,QQQ,2
2024-10-14,102029.21,583.81,iron_condor,QQQ,3
2024-10-23,102228.22,199.01,iron_condor,QQQ,3
2024-10-25,101928.26,-299.96,iron_condor,QQQ,3
2024-10-31,101959.31,31.05,iron_condor,QQQ,3
2024-11-06,101721.94,-237.37,iron_condor,QQQ,3
2024-11-15,101837.96,116.02,iron_condor,QQQ,3
2025-01-14,102253.96,416.0,iron_condor,QQQ,4
2025-05-28,103474.42000000001,1220.46,iron_condor,QQQ,7
2025-06-11,104460.78000000001,986.36,iron_condor,QQQ,7
2025-06-13,104508.22000000002,47.44,iron_condor,QQQ,7
2025-06-24,105196.28000000001,688.06,iron_condor,QQQ,7
2025-07-02,105370.89000000001,174.61,iron_condor,QQQ,7
2025-07-11,106254.32,883.43,iron_condor,QQQ,7
2025-07-29,106243.22,-11.1,iron_condor,QQQ,8
2025-08-06,105859.74,-383.48,iron_condor,QQQ,8
2025-09-05,107089.8,1230.06,iron_condor,QQQ,8
2025-09-11,107173.68000000001,83.88,iron_condor,QQQ,8
2026-02-03,107480.91,307.23,iron_condor,QQQ,11
2026-03-10,108000.95,520.04,iron_condor,QQQ,11
2026-03-20,107737.33,-263.62,iron_condor,QQQ,12
2026-03-30,107466.45,-270.88,iron_condor,QQQ,12
