date,equity,pnl,strategy,symbol,window
2024-05-31,100080.93,80.93,iron_condor,QQQ,1
2024-06-12,100084.15,3.22,iron_condor,QQQ,1
2024-06-17,99964.93,-119.22,iron_condor,QQQ,1
2024-07-01,100135.23,170.3,iron_condor,QQQ,1
2024-07-03,100020.78,-114.45,iron_condor,QQQ,1
2024-07-10,99890.93,-129.85,iron_condor,QQQ,1
2024-07-11,99611.12,-279.81,iron_condor,QQQ,1
2024-07-18,99454.42,-156.7,iron_condor,QQQ,1
2024-07-24,99198.76,-255.66,iron_condor,QQQ,2
2024-11-04,100491.51999999999,1292.76,iron_condor,QQQ,3
2024-11-06,99967.60999999999,-523.91,iron_condor,QQQ,3
2024-11-15,99943.45999999999,-24.15,iron_condor,QQQ,3
2025-01-14,100282.06999999999,338.61,iron_condor,QQQ,4
2025-05-29,100949.18,667.11,iron_condor,QQQ,7
2025-06-13,102039.81999999999,1090.64,iron_condor,QQQ,7
2025-06-24,102599.73,559.91,iron_condor,QQQ,7
2025-07-02,102759.75,160.02,iron_condor,QQQ,7
2025-07-11,103511.32,751.57,iron_condor,QQQ,7
2025-07-29,103500.22,-11.1,iron_condor,QQQ,8
2025-08-06,103116.74,-383.48,iron_condor,QQQ,8
2025-09-05,104346.8,1230.06,iron_condor,QQQ,8
2025-09-11,104430.68000000001,83.88,iron_condor,QQQ,8
2026-02-03,104839.65000000001,408.97,iron_condor,QQQ,11
2026-03-10,105442.52,602.87,iron_condor,QQQ,11
2026-03-20,105178.90000000001,-263.62,iron_condor,QQQ,12
