symbol,feature,feature_type,horizon_days,ic,p_value,n_obs
QQQ,closing_range_position,vlmc,10,0.0455,0.3139,491
QQQ,hurst_wavelet,fractal,20,0.3107,0.0,365
QQQ,hurst_scale_spread,fractal,20,-0.0262,0.618,365
QQQ,psd_beta,fractal,20,0.0249,0.6349,365
QQQ,multifractal_width,fractal,20,0.0,,365
QQQ,multifractal_asymmetry,fractal,20,0.0,,365
QQQ,session_vwap_position,vlmc,20,-0.0452,0.3222,481
QQQ,session_vwap_q1,vlmc,20,-0.0362,0.4281,481
QQQ,session_vwap_q2,vlmc,20,-0.0239,0.6004,481
QQQ,session_vwap_q3,vlmc,20,-0.0498,0.2759,481
QQQ,session_high_timing,vlmc,20,-0.0527,0.2483,481
QQQ,session_low_timing,vlmc,20,0.0993,0.0295,481
QQQ,session_volume_front_load,vlmc,20,-0.0748,0.1011,481
QQQ,session_volume_shape,vlmc,20,-0.0597,0.1913,481
QQQ,power_hour_momentum,vlmc,20,0.0119,0.7946,481
QQQ,power_hour_vol_accel,vlmc,20,-0.1085,0.0172,481
QQQ,power_hour_vwap_cross,vlmc,20,0.0394,0.3888,481
QQQ,closing_imbalance,vlmc,20,0.0382,0.4036,481
QQQ,closing_range_position,vlmc,20,0.0152,0.7398,481
