symbol,feature,feature_type,horizon_days,ic,p_value,n_obs
QQQ,hurst_wavelet,fractal,1,0.0086,0.8694,370
QQQ,hurst_scale_spread,fractal,1,-0.0264,0.6132,370
QQQ,psd_beta,fractal,1,0.0608,0.2431,370
QQQ,multifractal_width,fractal,1,0.0,,370
QQQ,multifractal_asymmetry,fractal,1,0.0,,370
QQQ,session_vwap_position,vlmc,1,-0.0036,0.9359,500
QQQ,session_vwap_q1,vlmc,1,0.0287,0.5227,500
QQQ,session_vwap_q2,vlmc,1,-0.0232,0.6044,500
QQQ,session_vwap_q3,vlmc,1,-0.0027,0.9525,500
QQQ,session_high_timing,vlmc,1,0.0574,0.2004,500
QQQ,session_low_timing,vlmc,1,0.0494,0.2701,500
QQQ,session_volume_front_load,vlmc,1,-0.0192,0.6692,500
QQQ,session_volume_shape,vlmc,1,0.0,0.9992,500
QQQ,power_hour_momentum,vlmc,1,-0.0321,0.4744,500
QQQ,power_hour_vol_accel,vlmc,1,-0.003,0.9461,500
QQQ,power_hour_vwap_cross,vlmc,1,0.017,0.7046,500
QQQ,closing_imbalance,vlmc,1,0.0127,0.7762,500
QQQ,closing_range_position,vlmc,1,-0.0017,0.9695,500
QQQ,hurst_wavelet,fractal,3,0.0672,0.1984,368
QQQ,hurst_scale_spread,fractal,3,0.02,0.7027,368
QQQ,psd_beta,fractal,3,0.092,0.0781,368
QQQ,multifractal_width,fractal,3,0.0,,368
QQQ,multifractal_asymmetry,fractal,3,0.0,,368
QQQ,session_vwap_position,vlmc,3,0.0019,0.9663,498
QQQ,session_vwap_q1,vlmc,3,0.0182,0.6847,498
QQQ,session_vwap_q2,vlmc,3,-0.0457,0.3087,498
QQQ,session_vwap_q3,vlmc,3,0.0236,0.5996,498
QQQ,session_high_timing,vlmc,3,0.0217,0.6295,498
QQQ,session_low_timing,vlmc,3,0.001,0.9818,498
QQQ,session_volume_front_load,vlmc,3,0.0137,0.7599,498
QQQ,session_volume_shape,vlmc,3,0.055,0.2203,498
QQQ,power_hour_momentum,vlmc,3,-0.0288,0.5218,498
QQQ,power_hour_vol_accel,vlmc,3,-0.0407,0.3652,498
QQQ,power_hour_vwap_cross,vlmc,3,0.0361,0.4214,498
QQQ,closing_imbalance,vlmc,3,-0.0012,0.979,498
QQQ,closing_range_position,vlmc,3,-0.0084,0.8524,498
QQQ,hurst_wavelet,fractal,5,0.0873,0.0953,366
QQQ,hurst_scale_spread,fractal,5,0.002,0.9696,366
QQQ,psd_beta,fractal,5,0.1,0.056,366
QQQ,multifractal_width,fractal,5,0.0,,366
QQQ,multifractal_asymmetry,fractal,5,0.0,,366
QQQ,session_vwap_position,vlmc,5,-0.0119,0.7913,496
QQQ,session_vwap_q1,vlmc,5,0.0163,0.7167,496
QQQ,session_vwap_q2,vlmc,5,-0.0331,0.4627,496
QQQ,session_vwap_q3,vlmc,5,0.0088,0.845,496
QQQ,session_high_timing,vlmc,5,-0.0062,0.8911,496
QQQ,session_low_timing,vlmc,5,-0.0074,0.8701,496
QQQ,session_volume_front_load,vlmc,5,0.057,0.205,496
QQQ,session_volume_shape,vlmc,5,0.0745,0.0973,496
QQQ,power_hour_momentum,vlmc,5,-0.0044,0.9215,496
QQQ,power_hour_vol_accel,vlmc,5,-0.0432,0.3365,496
QQQ,power_hour_vwap_cross,vlmc,5,0.0548,0.2229,496
QQQ,closing_imbalance,vlmc,5,0.034,0.4493,496
QQQ,closing_range_position,vlmc,5,0.0149,0.7407,496
QQQ,hurst_wavelet,fractal,10,0.1518,0.0037,365
QQQ,hurst_scale_spread,fractal,10,0.049,0.3509,365
QQQ,psd_beta,fractal,10,0.1042,0.0468,365
QQQ,multifractal_width,fractal,10,0.0,,365
QQQ,multifractal_asymmetry,fractal,10,0.0,,365
QQQ,session_vwap_position,vlmc,10,-0.0044,0.9222,491
QQQ,session_vwap_q1,vlmc,10,-0.0084,0.8524,491
QQQ,session_vwap_q2,vlmc,10,-0.0174,0.7008,491
QQQ,session_vwap_q3,vlmc,10,-0.0137,0.7624,491
QQQ,session_high_timing,vlmc,10,-0.0136,0.763,491
QQQ,session_low_timing,vlmc,10,0.0597,0.1868,491
QQQ,session_volume_front_load,vlmc,10,-0.0277,0.5404,491
QQQ,session_volume_shape,vlmc,10,0.0023,0.9594,491
QQQ,power_hour_momentum,vlmc,10,0.0675,0.1352,491
QQQ,power_hour_vol_accel,vlmc,10,-0.0991,0.0281,491
QQQ,power_hour_vwap_cross,vlmc,10,0.1037,0.0215,491
QQQ,closing_imbalance,vlmc,10,0.094,0.0374,491
