symbol,feature,feature_type,horizon_days,ic,p_value,n_obs
QQQ,closing_range_position,vlmc,10,0.0534,0.2442,478
QQQ,hurst_wavelet,fractal,20,0.3107,0.0,365
QQQ,hurst_scale_spread,fractal,20,-0.0262,0.618,365
QQQ,psd_beta,fractal,20,0.0249,0.6349,365
QQQ,multifractal_width,fractal,20,0.0,,365
QQQ,multifractal_asymmetry,fractal,20,0.0,,365
QQQ,session_vwap_position,vlmc,20,-0.0373,0.4207,468
QQQ,session_vwap_q1,vlmc,20,-0.0339,0.4639,468
QQQ,session_vwap_q2,vlmc,20,-0.0267,0.5645,468
QQQ,session_vwap_q3,vlmc,20,-0.0476,0.304,468
QQQ,session_high_timing,vlmc,20,-0.0554,0.2313,468
QQQ,session_low_timing,vlmc,20,0.1007,0.0294,468
QQQ,session_volume_front_load,vlmc,20,-0.0691,0.1355,468
QQQ,session_volume_shape,vlmc,20,-0.0522,0.2597,468
QQQ,power_hour_momentum,vlmc,20,0.0237,0.6084,468
QQQ,power_hour_vol_accel,vlmc,20,-0.12,0.0093,468
QQQ,power_hour_vwap_cross,vlmc,20,0.0556,0.2298,468
QQQ,closing_imbalance,vlmc,20,0.0445,0.3365,468
QQQ,closing_range_position,vlmc,20,0.0247,0.5943,468
