symbol,feature,feature_type,horizon_days,ic,p_value,n_obs
QQQ,hurst_wavelet,fractal,1,0.0086,0.8694,370
QQQ,hurst_scale_spread,fractal,1,-0.0264,0.6132,370
QQQ,psd_beta,fractal,1,0.0608,0.2431,370
QQQ,multifractal_width,fractal,1,0.0,,370
QQQ,multifractal_asymmetry,fractal,1,0.0,,370
QQQ,session_vwap_position,vlmc,1,-0.0255,0.5776,478
QQQ,session_vwap_q1,vlmc,1,0.0525,0.2517,478
QQQ,session_vwap_q2,vlmc,1,-0.0102,0.824,478
QQQ,session_vwap_q3,vlmc,1,0.0005,0.9905,478
QQQ,session_high_timing,vlmc,1,0.0555,0.2255,478
QQQ,session_low_timing,vlmc,1,0.0388,0.3978,478
QQQ,session_volume_front_load,vlmc,1,-0.0111,0.8081,478
QQQ,session_volume_shape,vlmc,1,0.0038,0.9344,478
QQQ,power_hour_momentum,vlmc,1,-0.0547,0.2326,478
QQQ,power_hour_vol_accel,vlmc,1,-0.0147,0.7485,478
QQQ,power_hour_vwap_cross,vlmc,1,0.0009,0.9836,478
QQQ,closing_imbalance,vlmc,1,-0.0056,0.9025,478
QQQ,closing_range_position,vlmc,1,-0.0163,0.7218,478
QQQ,hurst_wavelet,fractal,3,0.0672,0.1984,368
QQQ,hurst_scale_spread,fractal,3,0.02,0.7027,368
QQQ,psd_beta,fractal,3,0.092,0.0781,368
QQQ,multifractal_width,fractal,3,0.0,,368
QQQ,multifractal_asymmetry,fractal,3,0.0,,368
QQQ,session_vwap_position,vlmc,3,0.0099,0.8298,478
QQQ,session_vwap_q1,vlmc,3,0.0454,0.3224,478
QQQ,session_vwap_q2,vlmc,3,-0.037,0.4194,478
QQQ,session_vwap_q3,vlmc,3,0.0335,0.4649,478
QQQ,session_high_timing,vlmc,3,0.0267,0.5598,478
QQQ,session_low_timing,vlmc,3,-0.0074,0.8716,478
QQQ,session_volume_front_load,vlmc,3,0.0103,0.8216,478
QQQ,session_volume_shape,vlmc,3,0.0458,0.3174,478
QQQ,power_hour_momentum,vlmc,3,-0.0246,0.5923,478
QQQ,power_hour_vol_accel,vlmc,3,-0.027,0.5564,478
QQQ,power_hour_vwap_cross,vlmc,3,0.0392,0.3921,478
QQQ,closing_imbalance,vlmc,3,-0.0103,0.8218,478
QQQ,closing_range_position,vlmc,3,-0.0073,0.8736,478
QQQ,hurst_wavelet,fractal,5,0.0873,0.0953,366
QQQ,hurst_scale_spread,fractal,5,0.002,0.9696,366
QQQ,psd_beta,fractal,5,0.1,0.056,366
QQQ,multifractal_width,fractal,5,0.0,,366
QQQ,multifractal_asymmetry,fractal,5,0.0,,366
QQQ,session_vwap_position,vlmc,5,0.0066,0.8848,478
QQQ,session_vwap_q1,vlmc,5,0.0195,0.6711,478
QQQ,session_vwap_q2,vlmc,5,-0.0406,0.3755,478
QQQ,session_vwap_q3,vlmc,5,0.0172,0.7075,478
QQQ,session_high_timing,vlmc,5,-0.0063,0.8915,478
QQQ,session_low_timing,vlmc,5,-0.0111,0.8081,478
QQQ,session_volume_front_load,vlmc,5,0.0648,0.1571,478
QQQ,session_volume_shape,vlmc,5,0.0815,0.0752,478
QQQ,power_hour_momentum,vlmc,5,0.0172,0.7072,478
QQQ,power_hour_vol_accel,vlmc,5,-0.0408,0.3729,478
QQQ,power_hour_vwap_cross,vlmc,5,0.0761,0.0965,478
QQQ,closing_imbalance,vlmc,5,0.0532,0.246,478
QQQ,closing_range_position,vlmc,5,0.037,0.4197,478
QQQ,hurst_wavelet,fractal,10,0.1518,0.0037,365
QQQ,hurst_scale_spread,fractal,10,0.049,0.3509,365
QQQ,psd_beta,fractal,10,0.1042,0.0468,365
QQQ,multifractal_width,fractal,10,0.0,,365
QQQ,multifractal_asymmetry,fractal,10,0.0,,365
QQQ,session_vwap_position,vlmc,10,0.0004,0.9939,478
QQQ,session_vwap_q1,vlmc,10,-0.0137,0.7647,478
QQQ,session_vwap_q2,vlmc,10,-0.0267,0.5607,478
QQQ,session_vwap_q3,vlmc,10,-0.0099,0.8285,478
QQQ,session_high_timing,vlmc,10,-0.018,0.6953,478
QQQ,session_low_timing,vlmc,10,0.061,0.1833,478
QQQ,session_volume_front_load,vlmc,10,-0.0156,0.7344,478
QQQ,session_volume_shape,vlmc,10,0.0168,0.7141,478
QQQ,power_hour_momentum,vlmc,10,0.0768,0.0934,478
QQQ,power_hour_vol_accel,vlmc,10,-0.1044,0.0224,478
QQQ,power_hour_vwap_cross,vlmc,10,0.1181,0.0098,478
QQQ,closing_imbalance,vlmc,10,0.1036,0.0235,478
