date,equity,pnl,strategy,symbol,window
2025-06-23,100633.81,633.81,iron_condor,QQQ,1
2025-06-25,101018.93,385.12,iron_condor,QQQ,1
2025-06-25,101323.03,304.1,iron_condor,QQQ,1
2025-06-25,101323.62,0.59,iron_condor,QQQ,1
2025-07-09,101412.09999999999,88.48,iron_condor,QQQ,2
2025-07-28,101853.9,441.8,iron_condor,QQQ,4
2025-07-28,102420.7,566.8,iron_condor,QQQ,4
2025-07-29,102985.67,564.97,iron_condor,QQQ,4
2025-08-01,102795.81,-62.34,iron_condor,QQQ,4
2025-08-01,102900.78,-84.89,iron_condor,QQQ,4
2025-08-01,102858.15,-42.63,iron_condor,QQQ,4
2025-08-06,103359.88,564.07,iron_condor,QQQ,5
2025-08-20,103505.6,145.72,iron_condor,QQQ,5
2026-04-14,103060.17,-717.71,iron_condor,QQQ,24
2026-04-15,101964.36,-1095.81,iron_condor,QQQ,24
2026-04-29,103529.1,23.5,iron_condor,QQQ,23
2026-04-29,103591.53,62.43,iron_condor,QQQ,23
2026-04-29,103777.88,186.35,iron_condor,QQQ,23
