date,equity,pnl,strategy,symbol,window
2024-05-31,100038.14,38.14,iron_condor,QQQ,1
2024-06-14,99841.05,-197.09,iron_condor,QQQ,1
2024-07-03,100072.48,231.43,iron_condor,QQQ,1
2024-07-12,100127.81999999999,55.34,iron_condor,QQQ,1
2024-07-18,99843.59999999999,-284.22,iron_condor,QQQ,1
2024-07-18,99804.68,-38.92,iron_condor,QQQ,1
2024-07-25,99444.62999999999,-360.05,iron_condor,QQQ,2
2024-10-22,100136.10999999999,691.48,iron_condor,QQQ,3
2024-10-31,100160.29999999999,24.19,iron_condor,QQQ,3
2024-11-06,99794.54999999999,-365.75,iron_condor,QQQ,3
2024-11-15,99862.76999999999,68.22,iron_condor,QQQ,3
2025-01-14,100091.18999999999,228.42,iron_condor,QQQ,4
2025-02-24,100119.81999999999,28.63,iron_condor,QQQ,5
2025-03-03,99664.23,-455.59,iron_condor,QQQ,5
2025-03-31,99636.01999999999,-28.21,iron_condor,QQQ,6
2025-04-04,99072.18999999999,-563.83,iron_condor,QQQ,6
2025-05-14,98792.70999999999,-279.48,iron_condor,QQQ,6
2025-06-27,98816.74999999999,24.04,iron_condor,QQQ,7
2025-07-11,98969.77999999998,153.03,iron_condor,QQQ,7
2025-07-29,99044.86999999998,75.09,iron_condor,QQQ,8
2025-08-07,98405.84999999998,-639.02,iron_condor,QQQ,8
2025-08-20,98624.17999999998,218.33,iron_condor,QQQ,8
2025-09-05,98798.63999999998,174.46,iron_condor,QQQ,8
2025-09-11,98878.20999999999,79.57,iron_condor,QQQ,8
2025-10-01,99006.13999999998,127.93,iron_condor,QQQ,9
2026-02-04,99038.08999999998,31.95,iron_condor,QQQ,11
