date,equity,pnl,strategy,symbol,window
2024-05-31,100038.14,38.14,iron_condor,QQQ,1
2024-06-14,99841.05,-197.09,iron_condor,QQQ,1
2024-07-03,100072.48,231.43,iron_condor,QQQ,1
2024-07-12,100127.81999999999,55.34,iron_condor,QQQ,1
2024-07-18,99843.59999999999,-284.22,iron_condor,QQQ,1
2024-07-18,99804.68,-38.92,iron_condor,QQQ,1
2024-07-25,99483.59,-321.09,iron_condor,QQQ,2
2024-11-05,100654.45999999999,1170.87,iron_condor,QQQ,3
2024-11-07,99826.87999999999,-827.58,iron_condor,QQQ,3
2024-11-15,99442.76,-384.12,iron_condor,QQQ,3
2024-12-04,99625.59999999999,182.84,iron_condor,QQQ,4
2025-01-02,100343.9,718.3,iron_condor,QQQ,4
2025-01-14,100607.93999999999,264.04,iron_condor,QQQ,4
2025-02-24,100636.56999999999,28.63,iron_condor,QQQ,5
2025-03-03,100180.98,-455.59,iron_condor,QQQ,5
2025-03-31,100152.76999999999,-28.21,iron_condor,QQQ,6
2025-04-04,99588.93999999999,-563.83,iron_condor,QQQ,6
2025-05-14,99309.45999999999,-279.48,iron_condor,QQQ,6
2025-06-27,99333.49999999999,24.04,iron_condor,QQQ,7
2025-07-11,99486.52999999998,153.03,iron_condor,QQQ,7
2025-07-29,99561.61999999998,75.09,iron_condor,QQQ,8
2025-08-07,98922.59999999998,-639.02,iron_condor,QQQ,8
2025-08-20,99140.92999999998,218.33,iron_condor,QQQ,8
2025-09-05,99315.38999999998,174.46,iron_condor,QQQ,8
2025-09-11,99394.95999999999,79.57,iron_condor,QQQ,8
2025-10-01,99522.88999999998,127.93,iron_condor,QQQ,9
2026-02-04,99554.83999999998,31.95,iron_condor,QQQ,11
