date,equity,pnl,strategy,symbol,window
2024-06-12,100212.55,212.55,iron_condor,QQQ,1
2024-09-26,100231.93000000001,19.38,iron_condor,QQQ,3
2024-10-18,100823.58,591.65,iron_condor,QQQ,3
2024-11-15,100846.34,22.76,iron_condor,QQQ,3
2024-11-15,100799.3,-47.04,iron_condor,QQQ,3
2024-12-04,101000.55,201.25,iron_condor,QQQ,4
2024-12-30,101614.03,613.48,iron_condor,QQQ,4
2025-01-14,102056.19,442.16,iron_condor,QQQ,4
2025-01-14,101952.31,-103.88,iron_condor,QQQ,4
2025-05-13,101655.48,-296.83,iron_condor,QQQ,6
2025-05-29,102290.01999999999,634.54,iron_condor,QQQ,7
2025-06-13,103336.76,1046.74,iron_condor,QQQ,7
2026-03-03,103737.01,400.25,iron_condor,QQQ,11
2026-03-10,103960.58,223.57,iron_condor,QQQ,11
2026-05-05,103713.13,-247.45,iron_condor,QQQ,12
