date,equity,pnl,strategy,symbol,window
2025-05-27,100765.73,765.73,iron_condor,QQQ,3
2025-05-27,101109.44,343.71,iron_condor,QQQ,3
2025-05-27,101875.17,765.73,iron_condor,QQQ,4
2025-05-27,102670.67,795.5,iron_condor,QQQ,4
2025-05-27,106516.45999999999,795.5,iron_condor,QQQ,5
2025-05-29,103461.34999999999,790.68,iron_condor,QQQ,4
2025-06-04,107285.04999999999,768.59,iron_condor,QQQ,5
2025-06-05,108057.34999999999,772.3,iron_condor,QQQ,5
2025-06-10,104259.45999999999,798.11,iron_condor,QQQ,4
2025-06-10,105038.31,778.85,iron_condor,QQQ,4
2025-06-10,105776.06,737.75,iron_condor,QQQ,4
2025-06-10,105720.95999999999,-55.1,iron_condor,QQQ,4
2025-06-10,112049.66,798.11,iron_condor,QQQ,6
2025-06-11,112840.5,790.84,iron_condor,QQQ,6
2025-06-11,108848.18999999999,790.84,iron_condor,QQQ,5
2025-06-12,113635.03,794.53,iron_condor,QQQ,6
2025-06-18,109656.4,808.21,iron_condor,QQQ,5
2025-06-20,110449.78,793.38,iron_condor,QQQ,5
2025-06-24,111251.55,801.77,iron_condor,QQQ,5
2025-06-25,114438.52,803.49,iron_condor,QQQ,6
2025-06-25,119252.58000000002,803.49,iron_condor,QQQ,7
2025-06-26,115249.77,811.25,iron_condor,QQQ,6
2025-06-27,120053.34000000001,800.76,iron_condor,QQQ,7
2025-06-27,116050.53,800.76,iron_condor,QQQ,6
2025-06-30,120864.24,810.9,iron_condor,QQQ,7
2025-07-08,122522.99,817.49,iron_condor,QQQ,8
2025-07-08,116867.52,816.99,iron_condor,QQQ,6
2025-07-08,117673.87000000001,806.35,iron_condor,QQQ,6
2025-07-08,118449.09000000001,775.22,iron_condor,QQQ,6
2025-07-09,123344.01000000001,821.02,iron_condor,QQQ,8
2025-07-10,124167.96,823.95,iron_condor,QQQ,8
2025-07-17,121705.5,841.26,iron_condor,QQQ,7
2025-07-22,125014.04000000001,846.08,iron_condor,QQQ,8
2025-07-23,125855.3,841.26,iron_condor,QQQ,8
2025-07-24,126712.49,857.19,iron_condor,QQQ,8
2025-08-05,129968.34999999999,-116.96,iron_condor,QQQ,8
2025-08-05,130085.31,1659.73,iron_condor,QQQ,8
2025-08-05,127556.65000000001,844.16,iron_condor,QQQ,8
2025-08-05,128425.58,868.93,iron_condor,QQQ,8
2025-08-07,131686.56999999998,1718.22,iron_condor,QQQ,9
2025-08-19,133417.92999999996,1731.36,iron_condor,QQQ,9
2025-08-19,135002.84999999998,1584.92,iron_condor,QQQ,9
2025-08-19,137378.58,2375.73,iron_condor,QQQ,10
2025-08-22,141527.96,1753.16,iron_condor,QQQ,11
2025-09-02,148686.13999999996,1747.5,iron_condor,QQQ,12
2025-09-02,143295.41999999998,1767.46,iron_condor,QQQ,11
2025-09-02,139774.8,2396.22,iron_condor,QQQ,10
2025-09-05,145025.91999999998,1730.5,iron_condor,QQQ,11
2025-09-16,145771.52999999997,745.61,iron_condor,QQQ,11
2025-09-16,146427.85999999996,656.33,iron_condor,QQQ,11
2025-09-16,146938.63999999996,510.78,iron_condor,QQQ,11
2025-09-23,155170.93999999994,1758.1,iron_condor,QQQ,13
2025-09-30,150472.66999999995,1786.53,iron_condor,QQQ,12
2025-09-30,152178.40999999995,1705.74,iron_condor,QQQ,12
